Unspecified,,,,,,,,,,,
Unspecified,,,,,,,,,,,
Project,Project Title,Total Project Cost (KES),Funding Type,Funding Source,Start Date (Planned),Start Date (Actual),Duration (Months),Vision 2030 Flagship Ministry,MTEF Sector,Implementing Agency,Implementation Status
2010/051489,Construction Of Kiambu West District Headquarters,"18,300,000",GoK; Unspecified,Government of Kenya,09/01/2009,09/01/2009,33 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051491,Construction Of Taveta District Headquarters,"45,024,924",GoK; Unspecified,Government of Kenya,06/08/2008,06/02/2008,48 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051501,Construction Of Kyuso District Headquarters,"50,000,000",GoK; Unspecified,Government of Kenya,03/02/2008,04/02/2008,51 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051502,Construction Of Malindi District Headquarters,"35,000,000",GoK; Unspecified,Government of Kenya,16/07/2008,16/07/2008,47 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051503,Construction Of Nzaui District Headquarters,"65,600,000",GoK; Unspecified,Government of Kenya,08/03/2008,04/03/2008,46 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051509,Construction Of Kibwezi District Headquarters,"35,000,000",GoK; Unspecified,Government of Kenya,02/03/2009,02/03/2009,40 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051517,Construction Of Meru Central District Headquarters,"25,000,000",GoK; Unspecified,Government of Kenya,02/04/2009,02/04/2009,40 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051518,Construction Of Imenti South District Headquarters,"25,000,000",GoK; Unspecified,Government of Kenya,22/04/2009,05/01/2009,38 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051519,Construction Of Lagdera District Headquarters,"37,500,000",GoK; Unspecified,Government of Kenya,05/01/2009,06/01/2009,37 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051520,Construction Of Wajir West District Headquarters,"68,238,000",GoK; Unspecified,Government of Kenya,01/10/2009,02/02/2009,41 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051522,Construction Of Kisii South District Headquarters,"16,700,000",GoK; Unspecified,Government of Kenya,01/05/2009,01/05/2009,41 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051523,Construction Of South Gucha District Headquarters,"10,200,000",GoK; Unspecified,Government of Kenya,22/01/2009,22/01/2009,41 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051525,Construction Of Gucha District Headquarters,"8,000,000",GoK; Unspecified,Government of Kenya,11/05/2008,12/01/2008,43 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051526,Construction Of Manga District Headquarters,"97,000,000",GoK; Unspecified,Government of Kenya,20/12/2008,01/01/2009,42 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051527,Construction Of Bondo District Headquarters,"43,000,000",GoK; Unspecified,Government of Kenya,04/01/2009,05/01/2009,38 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051528,Construction Of Turkana North District Headquarters,"55,000,000",GoK; Unspecified,Government of Kenya,03/02/2009,03/02/2009,39 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051529,Construction Of Turkana South District Headquarters,"35,000,000",GoK; Unspecified,Government of Kenya,28/05/2009,28/05/2009,37 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051540,Construction Of Samburu East District Headquarters,"25,000,000",GoK; Unspecified,Government of Kenya,02/07/2009,02/07/2009,40 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051541,Construction Of Samburu North District Headquarters,"25,000,000",GoK; Unspecified,Government of Kenya,28/05/2009,28/05/2009,37 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051542,Construction Of Kwanza District Headquarters,"6,000,000",GoK; Unspecified,Government of Kenya,18/12/2009,18/12/2009,30 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051544,Construction Of Laikipia North District Headquarters,"95,000,000",GoK; Unspecified,Government of Kenya,21/04/2009,21/04/2009,38 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051545,Construction Of Nakuru North District Headquarters,"48,000,000",GoK; Unspecified,Government of Kenya,01/03/2009,01/03/2009,41 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051547,Construction Of Kajiado North District Headquarters,"31,850,000",GoK; Unspecified,Government of Kenya,07/09/2009,08/01/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051548,Construction Of Kakamega North District Headquarters,"13,000,000",GoK; Unspecified,Government of Kenya,02/02/2009,02/02/2009,40 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051550,Construction Of Emuhaya District Headquarters,"35,000,000",GoK; Unspecified,Government of Kenya,02/02/2009,02/02/2009,40 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/051780,Supply.Installation And Commissing Of Geneartors At Gandhi Wing (Central Administration) University Health Services.,"20,106,668",GoK; Unspecified,106 - MOES&T - University of Nairobi,19/08/2009,09/02/2009,5 months,Unspecified,Unspecified,106 - MOES&T - University of Nairobi,Planned
2010/051786,Proposed1 No. Lecture Theatre And 3 No. Science Laboratory At Kenya Science Campus,"239,464,775",GoK; Unspecified,106 - MOES&T - University of Nairobi; Government of Kenya,12/03/2008,12/03/2008,19 months,Unspecified,Education,106 - MOES&T - University of Nairobi,Ongoing
2010/051859,Tuition Block,"46,000,000",GoK; Unspecified,Government of Kenya,01/02/2010,,28 months,Unspecified,Unspecified,MoHEST - Kaiboi Technical Training Institute,Ongoing
2010/051993,Dungicha- Mihirini Jila Water Project,"25,317,420",Unspecified,Unspecified,07/01/2007,07/01/2007,35 months,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Completed
2010/051995,Kaembeni - Mwahera Water Project,"1,453,225,660",Unspecified,Unspecified,07/01/2007,07/01/2007,47 months,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing
2010/051998,Kaembeni - Kaputuku Pipeline Project,"27,120,000",Unspecified,Unspecified,07/01/2007,07/01/2008,35 months,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing
2010/052000,Mwele - Simakeni Water Project,"23,300,000",Unspecified,Unspecified,07/01/2009,07/01/2009,23 months,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing
2010/052141,Construction Of Tana Delta District Headquarters,"6,400,000",GoK; Unspecified,Government of Kenya,23/03/2009,23/03/2009,39 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052145,Construction Of Kakamega East District Headquarters,"4,000,000",GoK; Unspecified,Government of Kenya,11/10/2008,07/01/2009,43 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052147,Construction Of Lugari District Headquarters,"125,000,000",GoK; Unspecified,Government of Kenya,24/04/2009,07/01/2010,38 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052149,Construction Of Samia District Headquarters,"10,000,000",GoK; Unspecified,Government of Kenya,01/04/2009,01/04/2009,41 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052160,Construction Of Kirinyaga South District Headquarters,"17,829,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/10/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052161,Construction Of Mukurweini District Headquarters,"45,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/09/2010,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052164,Construction Of Gatundu District Headquarters,"9,200,000",GoK; Unspecified,Government of Kenya,07/01/2009,30/07/2010,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052166,Construction Of Kitui West District Headquarters,"7,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,30/10/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052167,Construction Of Mwingi East District Headquarters,"7,850,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052170,Construction Of Nyando District Headquarters,"5,720,000",GoK; Unspecified,Government of Kenya,07/01/2010,08/02/2010,23 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Planned
