Project_ID,Project_Title,Total_Cost_KES,Funding_Type,Funding_Source,Start_Date_Planned,Start_Date_Actual,Duration_Months,Vision_2030_Flagship,MTEF_Sector,Implementing_Agency,Implementation_Status
2010/051489,Construction Of Kiambu West District Headquarters,18300000.0,gok; unspecified,government of kenya,2009-09-01,2009-09-01,33.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051491,Construction Of Taveta District Headquarters,45024924.0,gok; unspecified,government of kenya,2008-06-08,2008-06-02,48.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051501,Construction Of Kyuso District Headquarters,50000000.0,gok; unspecified,government of kenya,2008-03-02,2008-04-02,51.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051502,Construction Of Malindi District Headquarters,35000000.0,gok; unspecified,government of kenya,2008-07-16,2008-07-16,47.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051503,Construction Of Nzaui District Headquarters,65600000.0,gok; unspecified,government of kenya,2008-08-03,2008-04-03,46.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051509,Construction Of Kibwezi District Headquarters,35000000.0,gok; unspecified,government of kenya,2009-02-03,2009-02-03,40.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051517,Construction Of Meru Central District Headquarters,25000000.0,gok; unspecified,government of kenya,2009-02-04,2009-02-04,40.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051518,Construction Of Imenti South District Headquarters,25000000.0,gok; unspecified,government of kenya,2009-04-22,2009-05-01,38.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051519,Construction Of Lagdera District Headquarters,37500000.0,gok; unspecified,government of kenya,2009-05-01,2009-06-01,37.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051520,Construction Of Wajir West District Headquarters,68238000.0,gok; unspecified,government of kenya,2009-01-10,2009-02-02,41.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051522,Construction Of Kisii South District Headquarters,16700000.0,gok; unspecified,government of kenya,2009-01-05,2009-01-05,41.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051523,Construction Of South Gucha District Headquarters,10200000.0,gok; unspecified,government of kenya,2009-01-22,2009-01-22,41.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051525,Construction Of Gucha District Headquarters,8000000.0,gok; unspecified,government of kenya,2008-11-05,2008-12-01,43.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051526,Construction Of Manga District Headquarters,97000000.0,gok; unspecified,government of kenya,2008-12-20,2009-01-01,42.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051527,Construction Of Bondo District Headquarters,43000000.0,gok; unspecified,government of kenya,2009-04-01,2009-05-01,38.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051528,Construction Of Turkana North District Headquarters,55000000.0,gok; unspecified,government of kenya,2009-03-02,2009-03-02,39.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
